new_id,resident_count
060855119102,46
060855120171,134
060855094043,85
060855079032,117
060855031084,66
060855029021,81
060855043192,92
060855120013,78
060855033211,74
060855100013,82
060855032041,139
060855092011,44
060855043161,111
060855091062,38
060855068043,57
060855120421,63
060855016005,83
060855048061,48
060855048051,245
060855020013,43
060855068014,30
060855120292,101
060855070022,38
060855011011,85
060855110005,50
060855041022,80
060855070013,47
060855096001,100
060855039021,72
060855088002,81
060855001001,35
060855062032,102
060855037122,121
060855052021,75
060855043083,74
060855022012,155
060855075001,83
060855033044,52
060855085082,53
060855080032,27
060855043193,180
060855096002,44
060855029093,68
060855013004,37
060855119101,61
060855062041,102
060855060003,81
060855081013,80
060855029091,36
060855029092,121
060855045072,76
060855070012,88
060855012003,50
060855035072,33
060855126031,35
060855066032,74
060855112001,43
060855037072,81
060855084014,52
060855055002,67
060855043163,50
060855043222,219
060855035112,69
060855120452,53
060855031131,114
060855033252,79
060855120321,56
060855024005,68
060855044142,90
060855063014,48
060855115002,65
060855120473,64
060855027025,68
060855077032,94
060855084015,50
060855125082,111
060855120271,120
060855120471,97
060855116081,20
060855085071,59
060855119092,111
060855032072,57
060855009012,190
060855126042,92
060855029023,119
060855067011,31
060855014011,93
060855043111,108
060855126022,66
060855091084,62
060855010004,82
060855120312,54
060855031161,135
060855043072,108
060855044141,94
060855080012,41
060855021024,67
060855031182,125
060855065031,113
060855119132,74
060855062021,80
060855004001,66
060855038031,104
060855061022,119
060855120454,64
060855005003,30
060855063023,87
060855054015,49
060855101003,31
060855040013,94
060855066062,79
060855083045,140
060855116091,276
060855037081,102
060855015022,150
060855053032,80
060855067022,69
060855009011,62
060855108011,56
060855076003,65
060855091021,152
060855067013,59
060855050081,272
060855038022,32
060855024004,25
060855083011,65
060855033063,55
060855118002,34
060855119112,43
060855039024,78
060855103002,76
060855120262,87
060855066042,49
060855068032,39
060855077022,63
060855090001,103
060855069002,101
060855112003,24
060855073011,36
060855130002,48
060855033153,143
060855120381,103
060855063011,72
060855084012,28
060855025006,220
060855065022,49
060855120293,33
060855045043,59
060855097002,63
060855117041,132
060855031113,80
060855078084,50
060855038043,77
060855120332,265
060855031112,88
060855120314,46
060855074022,35
060855044221,89
060855120392,52
060855048031,82
060855120352,88
060855011021,42
060855022011,155
060855073013,30
060855064011,134
060855014021,56
060855098021,172
060855043142,34
060855092023,47
060855100011,33
060855054022,74
060855061013,89
060855126043,33
060855106004,57
060855057001,49
060855075003,69
060855032141,195
060855045063,71
060855045061,72
060855036023,53
060855033052,110
060855029062,81
060855044222,55
060855032122,97
060855033241,102
060855043141,74
060855021013,110
060855041021,138
060855044171,18
060855120053,30
060855083042,44
060855091081,46
060855033242,70
060855110003,33
060855041023,76
060855044121,217
060855073016,47
060855053052,42
060855043172,89
060855005004,32
060855054012,115
060855050091,365
060855108032,49
060855035044,44
060855130003,85
060855120232,87
060855066031,41
060855027012,63
060855114002,30
060855053051,59
060855086012,62
060855074012,47
060855080014,19
060855135001,59
060855046021,297
060855120453,33
060855123083,133
060855069003,207
060855085041,65
060855048023,114
060855109001,60
060855124011,150
060855123142,34
060855063051,26
060855119123,53
060855022023,26
060855045062,142
060855061034,46
060855037101,654
060855017003,69
060855086022,28
060855073021,59
060855120192,97
060855020023,121
060855078082,40
060855073015,61
060855043155,69
060855001002,81
060855093042,67
060855113023,71
060855043112,110
060855120222,71
060855043231,105
060855033272,76
060855048032,223
060855025005,25
060855043202,46
060855117012,68
060855031081,95
060855033321,27
060855051002,102
060855028001,306
060855054011,53
060855094012,32
060855078062,32
060855042012,59
060855052022,226
060855071001,36
060855047001,51
060855081011,48
060855078053,48
060855119143,75
060855085081,35
060855033332,114
060855093032,40
060855045041,68
060855026011,15
060855065013,137
060855107002,96
060855001003,75
060855091061,74
060855043232,131
060855125032,180
060855120011,179
060855044182,99
060855081021,230
060855119141,58
060855117011,61
060855091054,44
060855043071,109
060855079031,50
060855119122,99
060855092022,31
060855031231,105
060855103001,64
060855037113,62
060855053022,96
060855006003,42
060855094031,96
060855082043,65
060855031111,54
060855010002,41
060855106002,159
060855044153,44
060855039031,125
060855035062,100
060855022021,48
060855120214,75
060855089003,56
060855120223,93
060855120052,30
060855053042,47
060855077021,60
060855035103,53
060855030013,78
060855062043,30
060855063022,57
060855120252,46
060855029094,73
060855068021,61
060855044102,92
060855078071,50
060855125062,217
060855068011,73
060855037111,45
060855040012,86
060855018004,38
060855120261,87
060855032131,90
060855090003,100
060855029103,47
060855120242,58
060855002001,74
060855053054,62
060855109002,64
060855125103,108
060855054013,94
060855123131,251
060855064021,87
060855110004,50
060855107001,28
060855057002,46
060855037092,53
060855123121,154
060855082033,108
060855009021,44
060855113021,50
060855058001,51
060855130001,298
060855044162,72
060855026042,55
060855053041,46
060855121001,529
060855011012,99
060855032171,47
060855091092,84
060855073012,50
060855053031,65
060855016004,105
060855100023,36
060855020011,53
060855029071,57
060855003001,159
060855066061,30
060855120372,29
060855115004,25
060855032173,140
060855094042,36
060855023011,63
060855033342,87
060855039032,57
060855044151,75
060855120054,86
060855108022,41
060855068044,18
060855032112,101
060855014012,39
060855031232,83
060855077035,45
060855115003,51
060855034013,103
060855028002,90
060855031121,156
060855021023,55
060855002004,109
060855067031,71
060855080041,70
060855061033,40
060855094041,59
060855079062,49
060855079061,54
060855084013,82
060855033061,80
060855100016,32
060855041011,49
060855053043,33
060855033301,77
060855108012,63
060855071002,86
060855018003,46
060855053013,27
060855035063,50
060855053021,106
060855063043,93
060855044101,72
060855120322,37
060855123101,121
060855013001,33
060855021012,50
060855094011,66
060855043181,201
060855023022,88
060855119113,98
060855117071,68
060855002002,16
060855033223,74
060855042013,78
060855067023,54
060855109003,51
060855030011,46
060855006001,152
060855038023,70
060855120301,98
060855033331,102
060855048062,86
060855023021,51
060855017001,189
060855031082,146
060855045073,49
060855125083,84
060855068033,146
060855079052,63
