plonwgs84,platwgs84,id,version,sources,names,categories,confidence,websites,socials,emails,phones,brand,addresses,plonwgs84,platwgs84
-121.7510547,36.907036,d93dc27d-720c-4c36-ba9b-dc97c5c02fd1,1,"[{'property': '', 'dataset': 'meta', 'record_id': '1534421100133640', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9459263554653523, 'between': None}]","{'primary': 'Potters House Community Christian School', 'common': None, 'rules': None}","{'primary': 'school', 'alternate': array(['high_school', 'middle_school'], dtype=object)}",0.9459263554653523,,['https://www.facebook.com/1534421100133640'],,['+18317285228'],,"[{'freeform': '113 E Front St', 'locality': 'Watsonville', 'postcode': '95076-5012', 'region': 'CA', 'country': 'US'}]",-121.7510547,36.907036
-121.7573538,36.9088656,60aba666-9b68-4f63-9d7e-0ce6aca256bb,1,"[{'property': '', 'dataset': 'meta', 'record_id': '144159435605068', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'Watsonville Aptos Adult School', 'common': None, 'rules': None}","{'primary': 'school', 'alternate': array(['education', 'public_school'], dtype=object)}",0.9784508333782836,,['https://www.facebook.com/144159435605068'],,,,"[{'freeform': '320 Rodriguez St', 'locality': 'Watsonville', 'postcode': '95076-4520', 'region': 'CA', 'country': 'US'}]",-121.7573538,36.9088656
-121.7573332,36.9088488,7f5123eb-83db-46b4-bdcd-d95bfab4301f,1,"[{'property': '', 'dataset': 'meta', 'record_id': '284474648246802', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9297091412742382, 'between': None}]","{'primary': 'Institute Of Language And Culture', 'common': None, 'rules': None}","{'primary': 'school', 'alternate': array(['elementary_school'], dtype=object)}",0.9297091412742382,,['https://www.facebook.com/284474648246802'],,,,"[{'freeform': '320 Rodriguez St', 'locality': 'Watsonville', 'postcode': '95076-4520', 'region': 'CA', 'country': 'US'}]",-121.7573332,36.9088488
-121.7556974,36.9088267,b6afeb0c-e47a-4df1-bc2c-372531cc9800,1,"[{'property': '', 'dataset': 'meta', 'record_id': '349352468417853', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'Watsonville Public Library', 'common': None, 'rules': None}","{'primary': 'library', 'alternate': array(['community_services_non_profits',
       'public_and_government_association'], dtype=object)}",0.9784508333782836,['https://cityofwatsonville.org/202/Library'],['https://www.facebook.com/349352468417853'],,['+18317683400'],,"[{'freeform': '275 Main St', 'locality': 'Watsonville', 'postcode': '95076-5133', 'region': 'CA', 'country': 'US'}]",-121.7556974,36.9088267
-121.75243,36.9126,315f8dfc-0015-4bd0-b113-66adbe45f969,1,"[{'property': '', 'dataset': 'meta', 'record_id': '102247914656618', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.242152466367713, 'between': None}]","{'primary': 'Watsonville FFA', 'common': None, 'rules': None}","{'primary': 'school', 'alternate': None}",0.24215246636771304,['https://linktr.ee/watsonvilleffa'],['https://www.facebook.com/102247914656618'],,['+18317286328'],,"[{'freeform': '250 E Beach St', 'locality': 'Watsonville', 'postcode': '95076-4831', 'region': 'CA', 'country': 'US'}]",-121.75243,36.9126
-121.7502091,36.9105766,eba444b2-1c18-4915-8bdd-a984ce424b0a,1,"[{'property': '', 'dataset': 'meta', 'record_id': '112467052220263', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'Linscott Charter School', 'common': None, 'rules': None}","{'primary': 'school', 'alternate': array(['elementary_school', 'middle_school'], dtype=object)}",0.9784508333782836,['http://linscott.pvusd.net/'],['https://www.facebook.com/112467052220263'],,['+18317286301'],,"[{'freeform': '220 Elm St', 'locality': 'Watsonville', 'postcode': '95076-5025', 'region': 'CA', 'country': 'US'}]",-121.7502091,36.9105766
-122.05053,36.95263,a9a5ff06-69c1-4e7e-9757-889f90c92104,1,"[{'property': '', 'dataset': 'meta', 'record_id': '101426499922825', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.39614373356704646, 'between': None}]","{'primary': 'Richard Schmidt Surf School', 'common': None, 'rules': None}","{'primary': 'school', 'alternate': array(['campground', 'education'], dtype=object)}",0.39614373356704646,['http://www.richardschmidt.com'],['https://www.facebook.com/101426499922825'],,['+18314230928'],,"[{'freeform': '236 San Jose Ave', 'locality': 'Santa Cruz', 'postcode': '95060-6218', 'region': 'CA', 'country': 'US'}]",-122.05053,36.95263
-122.049536,36.953044,21389830-8df3-40f0-a274-43113d235edc,1,"[{'property': '', 'dataset': 'meta', 'record_id': '109413762418963', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.5662921348314607, 'between': None}]","{'primary': 'Pacific Collegiate School', 'common': None, 'rules': None}","{'primary': 'school', 'alternate': array(['high_school', 'education'], dtype=object)}",0.5662921348314607,['http://www.pacificcollegiate.com'],['https://www.facebook.com/109413762418963'],,['+18314797785'],,"[{'freeform': '255 Swift St', 'locality': 'Santa Cruz', 'postcode': '95060-6225', 'region': 'CA', 'country': 'US'}]",-122.049536,36.953044
-122.05952,36.96036,998b1f73-12d0-4917-8c6b-5eb51d755609,1,"[{'property': '', 'dataset': 'meta', 'record_id': '986482504739108', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.242152466367713, 'between': None}]","{'primary': 'PCS Instrumental Music', 'common': None, 'rules': None}","{'primary': 'school', 'alternate': array(['campus_building', 'education'], dtype=object)}",0.24215246636771304,['http://www.pacificcollegiate.com/'],['https://www.facebook.com/986482504739108'],,['+18314797785'],,"[{'freeform': '3004 Mission St', 'locality': 'Santa Cruz', 'postcode': '95060-5717', 'region': 'CA', 'country': 'US'}]",-122.05952,36.96036
-122.040653,36.958714,449f4ed2-4e0c-419e-856d-03a25202c26b,1,"[{'property': '', 'dataset': 'meta', 'record_id': '543195032521022', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.5662921348314607, 'between': None}]","{'primary': 'Baymonte Early Childhood Learning Center', 'common': None, 'rules': None}","{'primary': 'school', 'alternate': array(['day_care_preschool', 'education'], dtype=object)}",0.5662921348314607,['http://www.baymonte.org/'],['https://www.facebook.com/543195032521022'],,['+18314387980'],,"[{'freeform': '570 Bethany Curv', 'locality': 'Santa Cruz', 'postcode': '95060', 'region': 'CA', 'country': 'US'}]",-122.040653,36.958714
-122.0382694,36.9580642,d6eeb5e1-34e0-4da8-8997-6b372718abdd,1,"[{'property': '', 'dataset': 'meta', 'record_id': '644792845380996', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9459263554653523, 'between': None}
 {'property': '/properties/existence', 'dataset': 'Microsoft', 'record_id': '1688849865704555', 'update_time': '2023-06-01T18:40:39.220Z', 'confidence': 0.77, 'between': None}]","{'primary': 'Garfield Park Branch Library', 'common': None, 'rules': None}","{'primary': 'library', 'alternate': array(['community_services_non_profits', 'social_service_organizations'],
      dtype=object)}",0.987563061757031,['https://garfieldparklibraryfriends.com/'],['https://www.facebook.com/644792845380996'],,['+18314277709'],,"[{'freeform': '705 Woodrow Ave', 'locality': 'Santa Cruz', 'postcode': '95060-5950', 'region': 'CA', 'country': 'US'}]",-122.0382694,36.9580642
-122.052292,36.977324,a017bd51-4cac-4794-8e3f-03847f9cea6f,1,"[{'property': '', 'dataset': 'meta', 'record_id': '8042429697', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.7548172757475083, 'between': None}]","{'primary': 'UCSC Libraries', 'common': None, 'rules': None}","{'primary': 'library', 'alternate': array(['college_university', 'museum'], dtype=object)}",0.7548172757475083,['http://library.ucsc.edu/'],['https://www.facebook.com/8042429697'],,['+18314594000'],,"[{'freeform': '1156 High St', 'locality': 'Santa Cruz', 'postcode': '95064-1077', 'region': 'CA', 'country': 'US'}]",-122.052292,36.977324
-122.05226,36.97746,999003e2-0807-45af-987c-1de0419f4af4,1,"[{'property': '', 'dataset': 'meta', 'record_id': '82888097834', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.29694323144104806, 'between': None}]","{'primary': 'Feminist Studies Department at UCSC', 'common': None, 'rules': None}","{'primary': 'school', 'alternate': array(['college_university', 'campus_building'], dtype=object)}",0.29694323144104806,['http://feministstudies.ucsc.edu/'],['https://www.facebook.com/82888097834'],,['+18314592371'],,"[{'freeform': '1156 High St', 'locality': 'Santa Cruz', 'postcode': '95064-1077', 'region': 'CA', 'country': 'US'}]",-122.05226,36.97746
-122.038389,36.972036,d57e68c1-30ec-4923-8943-6ad13139c6fb,1,"[{'property': '', 'dataset': 'meta', 'record_id': '449109575239492', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.242152466367713, 'between': None}]","{'primary': ""A Child's View"", 'common': None, 'rules': None}","{'primary': 'school', 'alternate': array(['elementary_school', 'home_service'], dtype=object)}",0.24215246636771304,,['https://www.facebook.com/449109575239492'],,['+18314279959'],,"[{'freeform': '323 Otis St', 'locality': 'Santa Cruz', 'postcode': '95060-3553', 'region': 'CA', 'country': 'US'}]",-122.038389,36.972036
-122.060583,36.983805,c93acd97-714a-417b-bea5-752c12296c64,1,"[{'property': '', 'dataset': 'meta', 'record_id': '234367009991775', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.49293966623876767, 'between': None}]","{'primary': 'Ucsc Arborteum', 'common': None, 'rules': None}","{'primary': 'school', 'alternate': array(['arts_and_entertainment', 'middle_school'], dtype=object)}",0.4929396662387677,,['https://www.facebook.com/234367009991775'],,,,"[{'freeform': None, 'locality': 'Santa Cruz', 'postcode': None, 'region': 'CA', 'country': 'US'}]",-122.060583,36.983805
-122.06012,36.99474,56b1fc0e-f0f7-462b-a3b0-2df120674113,1,"[{'property': '', 'dataset': 'meta', 'record_id': '9118304977', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.33766233766233766, 'between': None}]","{'primary': 'David Kirk Digital Scholarship Commons Media Center', 'common': None, 'rules': None}","{'primary': 'library', 'alternate': None}",0.33766233766233766,['http://guides.library.ucsc.edu/mediacenter'],['https://www.facebook.com/9118304977'],,['+18314594508'],,"[{'freeform': None, 'locality': 'Santa Cruz', 'postcode': None, 'region': 'CA', 'country': 'US'}]",-122.06012,36.99474
-122.0588551,36.9960248,a5567300-5319-4c27-87fe-607c2b6b4844,1,"[{'property': '', 'dataset': 'meta', 'record_id': '135048633194371', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9297091412742382, 'between': None}]","{'primary': 'McHenry Library', 'common': None, 'rules': None}","{'primary': 'library', 'alternate': array(['social_service_organizations'], dtype=object)}",0.9297091412742382,,['https://www.facebook.com/135048633194371'],,['+18314595185'],,"[{'freeform': '414 McHenry Rd', 'locality': None, 'postcode': '95064', 'region': None, 'country': 'US'}]",-122.0588551,36.9960248
-122.038568,36.9872965,308e4b0a-50c1-4e0a-bfb5-d506cb6b7e29,1,"[{'property': '', 'dataset': 'meta', 'record_id': '1633606360226458', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9459263554653523, 'between': None}]","{'primary': 'Santa Cruz County Career Technical Education Partnership', 'common': None, 'rules': None}","{'primary': 'school', 'alternate': array(['education', 'health_and_medical'], dtype=object)}",0.9459263554653523,['http://ctep.santacruzcoe.org/'],['https://www.facebook.com/1633606360226458'],,['+18314665760'],,"[{'freeform': '399 Encinal St', 'locality': 'Santa Cruz', 'postcode': '95060-2132', 'region': 'CA', 'country': 'US'}]",-122.038568,36.9872965
-122.0535674,36.9968966,b1750383-4836-4690-9c50-d45483c956f8,1,"[{'property': '', 'dataset': 'meta', 'record_id': '201435909882193', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9204819277108434, 'between': None}]","{'primary': 'Page Smith Library', 'common': None, 'rules': None}","{'primary': 'library', 'alternate': array(['social_service_organizations'], dtype=object)}",0.9204819277108434,,['https://www.facebook.com/201435909882193'],,,,"[{'freeform': None, 'locality': None, 'postcode': '95064', 'region': None, 'country': 'US'}]",-122.0535674,36.9968966
-122.0223492,36.9616156,aadc202a-6a5c-4ee8-8d3d-0d13e9b17b21,1,"[{'property': '', 'dataset': 'meta', 'record_id': '102703773150163', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.242152466367713, 'between': None}]","{'primary': 'Santa Cruz School of the Supernatural', 'common': None, 'rules': None}","{'primary': 'school', 'alternate': array(['religious_organization', 'education'], dtype=object)}",0.24215246636771304,['http://iamsupernatural.org/'],['https://www.facebook.com/102703773150163'],,,,"[{'freeform': '21 Municipal Wharf St', 'locality': 'Santa Cruz', 'postcode': '95060-5459', 'region': 'CA', 'country': 'US'}]",-122.0223492,36.9616156
-122.022542,36.963876,66fbd778-1e36-459d-a950-894ae0709e84,1,"[{'property': '', 'dataset': 'meta', 'record_id': '101352748472188', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.5662921348314607, 'between': None}]","{'primary': 'Wellesley Gunter Preparatory School', 'common': None, 'rules': None}","{'primary': 'school', 'alternate': array(['elementary_school'], dtype=object)}",0.5662921348314607,,['https://www.facebook.com/101352748472188'],,['+18763454998'],,"[{'freeform': '131 Main St', 'locality': 'Santa Cruz', 'postcode': '95060-5422', 'region': 'CA', 'country': 'US'}]",-122.022542,36.963876
-122.0286082,36.9743865,c98f6eab-de27-4bab-b4a7-dfd5fc65bd4c,1,"[{'property': '', 'dataset': 'meta', 'record_id': '985016394862111', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'Genealogical Society Library', 'common': None, 'rules': None}","{'primary': 'library', 'alternate': array(['active_life'], dtype=object)}",0.9784508333782836,['http://cagenweb.com'],['https://www.facebook.com/985016394862111'],,['+18314277707'],,"[{'freeform': '244 Church St', 'locality': 'Santa Cruz', 'postcode': '95060-3810', 'region': 'CA', 'country': 'US'}]",-122.0286082,36.9743865
-122.0284994,36.9744013,bb2e2fc2-7282-42b3-86fa-36ab32b6a3e7,1,"[{'property': '', 'dataset': 'meta', 'record_id': '299389034512', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'Santa Cruz Public Libraries', 'common': None, 'rules': None}","{'primary': 'library', 'alternate': array(['community_services_non_profits'], dtype=object)}",0.9784508333782836,['https://www.santacruzpl.org/'],['https://www.facebook.com/299389034512'],,['+18314277716'],,"[{'freeform': '224 Church St', 'locality': 'Santa Cruz', 'postcode': '95060-3810', 'region': 'CA', 'country': 'US'}]",-122.0284994,36.9744013
-122.0272827,36.9762802,ea1fc3ac-b89d-46f7-86e6-d746f9171db8,1,"[{'property': '', 'dataset': 'meta', 'record_id': '1648798528668754', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.39614373356704646, 'between': None}]","{'primary': 'Santa Cruz Libraries Central Library', 'common': None, 'rules': None}","{'primary': 'library', 'alternate': array(['train_station'], dtype=object)}",0.39614373356704646,,['https://www.facebook.com/1648798528668754'],,['+18314205600'],,"[{'freeform': '1543 Pacific Ave', 'locality': 'Santa Cruz', 'postcode': '95060-3961', 'region': 'CA', 'country': 'US'}]",-122.0272827,36.9762802
-122.027069,36.976202,32fa5f6c-d8a5-4ca9-99c5-baa6c4630e29,1,"[{'property': '', 'dataset': 'meta', 'record_id': '188564741176934', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.33766233766233766, 'between': None}]","{'primary': 'Santa Cruz City-County Library', 'common': None, 'rules': None}","{'primary': 'library', 'alternate': array(['hospital', 'doctor'], dtype=object)}",0.33766233766233766,,['https://www.facebook.com/188564741176934'],,['+18314205600'],,"[{'freeform': '1543 Pacific Ave', 'locality': 'Santa Cruz', 'postcode': '95060-3961', 'region': 'CA', 'country': 'US'}]",-122.027069,36.976202
-122.02403,36.97251,5428af48-dbe4-45ee-9577-64aa480c477f,1,"[{'property': '', 'dataset': 'meta', 'record_id': '1780487362070267', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.29694323144104806, 'between': None}]","{'primary': 'All Hands Workshops', 'common': None, 'rules': None}","{'primary': 'school', 'alternate': array(['elementary_school', 'vocational_and_technical_school'],
      dtype=object)}",0.29694323144104806,['http://www.allhandsworkshops.com/'],['https://www.facebook.com/1780487362070267'],,,,"[{'freeform': '514 Front St', 'locality': 'Santa Cruz', 'postcode': '95060-4506', 'region': 'CA', 'country': 'US'}]",-122.02403,36.97251
-122.019283,36.973303,08bb2d9c-edb4-4013-a346-7ac52f8906cf,1,"[{'property': '', 'dataset': 'meta', 'record_id': '357443780966401', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.242152466367713, 'between': None}]","{'primary': 'Mothersong', 'common': None, 'rules': None}","{'primary': 'school', 'alternate': array(['arts_and_entertainment', 'shopping'], dtype=object)}",0.24215246636771304,['https://www.mothersong.org'],['https://www.facebook.com/357443780966401'],,['+18314262935'],,"[{'freeform': '407 Broadway', 'locality': 'Santa Cruz', 'postcode': '95060-4619', 'region': 'CA', 'country': 'US'}]",-122.019283,36.973303
-122.019584,36.973988,3cb99104-431f-45f3-8fa7-a9d4a222658d,1,"[{'property': '', 'dataset': 'Microsoft', 'record_id': '1970324838982848', 'update_time': '2019-06-18T18:43:55.203Z', 'confidence': 0.77, 'between': None}]","{'primary': 'Evans Data Corporation', 'common': None, 'rules': None}","{'primary': 'research_institute', 'alternate': array(['business_to_business'], dtype=object)}",0.77,['https://evansdata.com/'],,,['8314258451'],,"[{'freeform': '340 Soquel Ave', 'locality': 'Santa Cruz', 'postcode': '95062', 'region': 'CA', 'country': 'US'}]",-122.019584,36.973988
-122.0250697,36.975599,670f88fa-2ee6-4173-9ed9-218a45f1518b,1,"[{'property': '', 'dataset': 'meta', 'record_id': '2695708780457295', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}
 {'property': '/properties/existence', 'dataset': 'Microsoft', 'record_id': '1407374888295132', 'update_time': '2025-05-23T01:11:09.023Z', 'confidence': 0.77, 'between': None}]","{'primary': 'Kumon Math and Reading Center', 'common': None, 'rules': None}","{'primary': 'school', 'alternate': array(['tutoring_center', 'education'], dtype=object)}",0.9950436916770052,['http://www.kumon.com/santa-cruz'],['https://www.facebook.com/2695708780457295'],,['+18318246284'],"{'wikidata': None, 'names': {'primary': 'Kumon', 'common': None, 'rules': None}}","[{'freeform': '740 Front St', 'locality': 'Santa Cruz', 'postcode': '95060-4512', 'region': 'CA', 'country': 'US'}]",-122.0250697,36.975599
-122.022557,36.9780973,f4e1a656-df16-45d2-94e0-4506ec89629e,1,"[{'property': '', 'dataset': 'meta', 'record_id': '178351045548376', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.49293966623876767, 'between': None}]","{'primary': 'Santa Cruz Law Library', 'common': None, 'rules': None}","{'primary': 'library', 'alternate': array(['shopping', 'train_station'], dtype=object)}",0.4929396662387677,['http://www.lawlibrary.org/'],['https://www.facebook.com/178351045548376'],,['+18314202205'],,"[{'freeform': '701 Ocean St', 'locality': 'Santa Cruz', 'postcode': '95060-4003', 'region': 'CA', 'country': 'US'}]",-122.022557,36.9780973
