plonwgs84,platwgs84,id,version,sources,names,categories,confidence,websites,socials,emails,phones,brand,addresses,plonwgs84,platwgs84
-121.7562428,36.9109532,38a4ccd1-28ff-4350-98d2-2705d22ff668,1,"[{'property': '', 'dataset': 'meta', 'record_id': '2235317833362950', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.8860580325548478, 'between': None}]","{'primary': 'Del Sol Insurance Services', 'common': None, 'rules': None}","{'primary': 'insurance_agency', 'alternate': None}",0.8860580325548478,['https://seguros-del-sol-registraciones-y-stickers.negocio.site'],['https://www.facebook.com/2235317833362950'],,['+18312541775'],,"[{'freeform': '405 Union St', 'locality': 'Watsonville', 'postcode': '95076-4620', 'region': 'CA', 'country': 'US'}]",-121.7562428,36.9109532
-121.7580897,36.9137052,d125ea38-6b39-49c7-bfe3-655f3fb15e36,1,"[{'property': '', 'dataset': 'meta', 'record_id': '1844467372536499', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}
 {'property': '/properties/existence', 'dataset': 'Microsoft', 'record_id': '1125899911265304', 'update_time': '2023-12-14T18:45:01.550Z', 'confidence': 0.77, 'between': None}]","{'primary': 'Farmers Insurance - Derek Diaz', 'common': None, 'rules': None}","{'primary': 'insurance_agency', 'alternate': None}",0.9950436916770052,['https://agents.farmers.com/ca/watsonville/derek-diaz'],['https://www.facebook.com/1844467372536499'],,['+18313194623'],,"[{'freeform': '30 E 5th St', 'locality': 'Watsonville', 'postcode': '95076-4358', 'region': 'CA', 'country': 'US'}]",-121.7580897,36.9137052
-122.0507595,36.9569619,6d6969ad-9ea9-474c-b123-9b8eac5fae1d,1,"[{'property': '', 'dataset': 'meta', 'record_id': '249708298510477', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9459263554653523, 'between': None}]","{'primary': 'Nonprofits Insurance Alliance', 'common': None, 'rules': None}","{'primary': 'insurance_agency', 'alternate': array(['community_services_non_profits'], dtype=object)}",0.9459263554653523,['http://www.insurancefornonprofits.org/'],['https://www.facebook.com/249708298510477'],,['+18003596422'],,"[{'freeform': '300 Panetta Ave', 'locality': 'Santa Cruz', 'postcode': '95060-6372', 'region': 'CA', 'country': 'US'}]",-122.0507595,36.9569619
-122.0372387,36.9689884,bdc5f441-cbd2-49c0-ad6c-917fad28d6da,1,"[{'property': '', 'dataset': 'meta', 'record_id': '109093259120554', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9879256218304757, 'between': None}]","{'primary': 'Aleene ""Ace"" Althouse - State Farm Agent', 'common': None, 'rules': None}","{'primary': 'insurance_agency', 'alternate': None}",0.9879256218304757,['https://www.agent-ace.com/'],['https://www.facebook.com/109093259120554'],,['+18314201555'],,"[{'freeform': '1215 Mission St', 'locality': 'Santa Cruz', 'postcode': '95060-3528', 'region': 'CA', 'country': 'US'}]",-122.0372387,36.9689884
-122.0351827,36.9732658,b41affcd-9664-44b9-bf09-9a6e8956e917,1,"[{'property': '', 'dataset': 'meta', 'record_id': '144090064815', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9204819277108434, 'between': None}]","{'primary': 'Paul Nelson Insurance Services', 'common': None, 'rules': None}","{'primary': 'insurance_agency', 'alternate': None}",0.9204819277108434,['http://www.bayareainsured.com/'],['https://www.facebook.com/144090064815'],,['+18314269900'],,"[{'freeform': '730 Mission St', 'locality': 'Santa Cruz', 'postcode': '95060-3688', 'region': 'CA', 'country': 'US'}]",-122.0351827,36.9732658
-122.02692,36.97557,07b4129e-4b6c-4bc9-8c54-9bb82af9d16f,1,"[{'property': '', 'dataset': 'meta', 'record_id': '115803384444096', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.33766233766233766, 'between': None}]","{'primary': 'Farmers Insurance - District Office 86', 'common': None, 'rules': None}","{'primary': 'insurance_agency', 'alternate': None}",0.33766233766233766,['https://recruitment.farmers.com/industry-recruiter-locator/ca/santa-cruz/pedro-gonzalez'],['https://www.facebook.com/115803384444096'],,,,"[{'freeform': '1521 Pacific Ave', 'locality': 'Santa Cruz', 'postcode': '95060-3911', 'region': 'CA', 'country': 'US'}]",-122.02692,36.97557
-122.0255886,36.9765441,21b8a453-3b66-4260-8a92-dad1b18b49f9,1,"[{'property': '', 'dataset': 'meta', 'record_id': '162108661012907', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'Santa Cruz Community Credit Union', 'common': None, 'rules': None}","{'primary': 'credit_union', 'alternate': array(['financial_service', 'installment_loans'], dtype=object)}",0.9784508333782836,['http://www.scccu.org/'],['https://www.facebook.com/162108661012907'],,['+18314257708'],,"[{'freeform': '55 River St', 'locality': 'Santa Cruz', 'postcode': '95060-4565', 'region': 'CA', 'country': 'US'}]",-122.0255886,36.9765441
-122.0272069,36.9782077,14ae75cf-8187-4c9a-8004-3cd70f9283f1,1,"[{'property': '', 'dataset': 'meta', 'record_id': '181984009093979', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9459263554653523, 'between': None}
 {'property': '/properties/existence', 'dataset': 'Microsoft', 'record_id': '1125899912914509', 'update_time': '2024-08-08T00:20:47.397Z', 'confidence': 0.77, 'between': None}]","{'primary': 'Clarion Pacific Insurance Services', 'common': None, 'rules': None}","{'primary': 'insurance_agency', 'alternate': None}",0.987563061757031,['https://www.clarionpacificinsurance.com/'],['https://www.facebook.com/181984009093979'],,['+18313374661'],,"[{'freeform': '2035 N Pacific Ave', 'locality': 'Santa Cruz', 'postcode': '95060-2703', 'region': 'CA', 'country': 'US'}]",-122.0272069,36.9782077
-122.0273002,36.978292,df149de4-9fb1-4593-a545-da3609c01cb2,1,"[{'property': '', 'dataset': 'meta', 'record_id': '162761440417985', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}
 {'property': '/properties/existence', 'dataset': 'Microsoft', 'record_id': '1407374883675165', 'update_time': '2012-06-26T11:55:00.703Z', 'confidence': 0.77, 'between': None}]","{'primary': 'Bedell and Nelson-Harbert Insurance', 'common': None, 'rules': None}","{'primary': 'insurance_agency', 'alternate': None}",0.9950436916770052,['http://www.bnhins.com/'],['https://www.facebook.com/162761440417985'],,['+18314263700'],,"[{'freeform': '2035 N Pacific Ave', 'locality': 'Santa Cruz', 'postcode': '95060-2703', 'region': 'CA', 'country': 'US'}]",-122.0273002,36.978292
-122.02115,36.9743687,0a8d8fe5-852c-4d0b-94d3-f7e12c30c9cc,1,"[{'property': '', 'dataset': 'meta', 'record_id': '105659474836692', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.24568965517241378, 'between': None}]","{'primary': 'Ashley Byrd Consultant', 'common': None, 'rules': None}","{'primary': 'insurance_agency', 'alternate': None}",0.2456896551724138,['https://msha.ke/ashleybyrdconsultation/'],['https://www.facebook.com/105659474836692'],,['+18314268888'],,"[{'freeform': '305 Soquel Ave', 'locality': 'Santa Cruz', 'postcode': '95062-2348', 'region': 'CA', 'country': 'US'}]",-122.02115,36.9743687
