plonwgs84,platwgs84,id,version,sources,names,categories,confidence,websites,socials,emails,phones,brand,addresses,plonwgs84,platwgs84
-121.7562536,36.911949,8768149b-d22a-41a7-8f05-ed0d8da7197a,1,"[{'property': '', 'dataset': 'meta', 'record_id': '1418506268362788', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'Watsonville Family Dental', 'common': None, 'rules': None}","{'primary': 'dentist', 'alternate': array(['oral_surgeon', 'cosmetic_dentist'], dtype=object)}",0.9784508333782836,['https://watsonvillefamilydental.com/'],['https://www.facebook.com/1418506268362788'],,['+18317280232'],,"[{'freeform': '24 Alexander St', 'locality': 'Watsonville', 'postcode': '95076-4609', 'region': 'CA', 'country': 'US'}]",-121.7562536,36.911949
-121.7579533,36.9131644,88e3939a-414c-4e4e-b3ba-80f6704e9670,1,"[{'property': '', 'dataset': 'meta', 'record_id': '1571791549803997', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9297091412742382, 'between': None}]","{'primary': 'Clinica Medica Santa Maria', 'common': None, 'rules': None}","{'primary': 'hospital', 'alternate': array(['beauty_salon'], dtype=object)}",0.9297091412742382,['http://www.squareup.com/store/acneskincare'],['https://www.facebook.com/1571791549803997'],,['+18317284030'],,"[{'freeform': '21 Brennan St', 'locality': 'Watsonville', 'postcode': '95076-4337', 'region': 'CA', 'country': 'US'}]",-121.7579533,36.9131644
-121.7579192,36.9134388,b719263d-51bf-4ed5-a189-537a5ccd0ca6,1,"[{'property': '', 'dataset': 'meta', 'record_id': '127399894115767', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'Dr. Sofia Espinoza', 'common': None, 'rules': None}","{'primary': 'dentist', 'alternate': array(['doctor', 'family_practice'], dtype=object)}",0.9784508333782836,['http://espinozasofiadds.placeweb.site'],['https://www.facebook.com/127399894115767'],,['+18317222727'],,"[{'freeform': '21 Brennan St', 'locality': 'Watsonville', 'postcode': '95076-4337', 'region': 'CA', 'country': 'US'}]",-121.7579192,36.9134388
-121.7537036,36.9122989,1c41f7f4-8e58-4ddc-a5d1-c2d768b66b0e,1,"[{'property': '', 'dataset': 'meta', 'record_id': '207140542684977', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'Salud Para La Gente', 'common': None, 'rules': None}","{'primary': 'hospital', 'alternate': array(['family_practice'], dtype=object)}",0.9784508333782836,['http://www.splg.org/'],['https://www.facebook.com/207140542684977'],,['+18317280222'],,"[{'freeform': '204 E Beach St', 'locality': 'Watsonville', 'postcode': '95076-4809', 'region': 'CA', 'country': 'US'}]",-121.7537036,36.9122989
-121.7497108,36.9015768,d7525300-bb1f-4fd5-b43b-e7960bd8fe2d,1,"[{'property': '', 'dataset': 'meta', 'record_id': '1109430202410890', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'Clinica de Salud del Valle de Salinas', 'common': None, 'rules': None}","{'primary': 'doctor', 'alternate': array(['hospital', 'health_and_medical'], dtype=object)}",0.9784508333782836,['http://www.csvs.org'],['https://www.facebook.com/1109430202410890'],,['+18317282505'],,"[{'freeform': '29 Bishop St', 'locality': 'Watsonville', 'postcode': '95076-5266', 'region': 'CA', 'country': 'US'}]",-121.7497108,36.9015768
-121.7497933,36.901651,bb4d3313-1d24-4522-bac3-e4fc13c9fc33,1,"[{'property': '', 'dataset': 'meta', 'record_id': '1384578635174959', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.49293966623876767, 'between': None}]","{'primary': 'CSVS Clinics', 'common': None, 'rules': None}","{'primary': 'hospital', 'alternate': array(['family_practice', 'health_and_medical'], dtype=object)}",0.4929396662387677,,['https://www.facebook.com/1384578635174959'],,['+18317282505'],,"[{'freeform': '29 Bishop St', 'locality': 'Watsonville', 'postcode': '95076-5266', 'region': 'CA', 'country': 'US'}]",-121.7497933,36.901651
-122.055719,36.959247,dbecde3c-9d8d-459f-9b10-25e898159f9c,1,"[{'property': '', 'dataset': 'meta', 'record_id': '427035400772433', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.33766233766233766, 'between': None}]","{'primary': 'Duke Empirical', 'common': None, 'rules': None}","{'primary': 'pharmacy', 'alternate': array(['real_estate'], dtype=object)}",0.33766233766233766,['http://www.dukeempirical.com'],['https://www.facebook.com/427035400772433'],,['+18314201104'],,"[{'freeform': '2829 Mission St', 'locality': 'Santa Cruz', 'postcode': '95060-5755', 'region': 'CA', 'country': 'US'}]",-122.055719,36.959247
-122.0386129,36.9675523,0f866149-7685-402a-9f86-eb458f6e1bf7,1,"[{'property': '', 'dataset': 'meta', 'record_id': '105030349055924', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9879256218304757, 'between': None}]","{'primary': 'Westside Pharmacy and Medical Supply', 'common': None, 'rules': None}","{'primary': 'pharmacy', 'alternate': array(['medical_supply', 'health_and_medical'], dtype=object)}",0.9879256218304757,['http://westsidepharmacyrx.com'],['https://www.facebook.com/105030349055924'],,['+18314237175'],,"[{'freeform': '1401 Mission St', 'locality': 'Santa Cruz', 'postcode': '95060-4738', 'region': 'CA', 'country': 'US'}]",-122.0386129,36.9675523
-122.0381524,36.9679714,7342ee3a-369f-4f49-aea3-174e1ce44c7c,1,"[{'property': '', 'dataset': 'Microsoft', 'record_id': '1407374885332636', 'update_time': '2025-05-03T16:47:43.587Z', 'confidence': 0.77, 'between': None}]","{'primary': 'Arlene Vazquez, M.D.', 'common': None, 'rules': None}","{'primary': 'doctor', 'alternate': array(['health_and_medical'], dtype=object)}",0.77,['https://www.sutterhealth.org/find-provider/dr-arlene-vazquez-1046232179'],,,['8314586300'],,"[{'freeform': '1301 Mission St', 'locality': 'Santa Cruz', 'postcode': '95060', 'region': 'CA', 'country': 'US'}]",-122.0381524,36.9679714
-122.0381524,36.9679714,8bbf63ab-fd04-42de-8627-7d3ffa2750d4,1,"[{'property': '', 'dataset': 'Microsoft', 'record_id': '1407374885332216', 'update_time': '2025-05-05T18:12:52.687Z', 'confidence': 0.77, 'between': None}]","{'primary': 'Matthew Houlahan, M.D.', 'common': None, 'rules': None}","{'primary': 'doctor', 'alternate': array(['health_and_medical'], dtype=object)}",0.77,['https://www.sutterhealth.org/find-provider/dr-matthew-houlahan-1046240107'],,,['8314586300'],,"[{'freeform': '1301 Mission St', 'locality': 'Santa Cruz', 'postcode': '95060', 'region': 'CA', 'country': 'US'}]",-122.0381524,36.9679714
