plonwgs84,platwgs84,id,version,sources,names,categories,confidence,websites,socials,emails,phones,brand,addresses,plonwgs84,platwgs84
-121.78478,36.91405,673e4552-bab3-4bd2-9e19-aabc3c7d1f30,1,"[{'property': '', 'dataset': 'meta', 'record_id': '1710678399186225', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'Golds Gym', 'common': None, 'rules': None}","{'primary': 'gym', 'alternate': array(['active_life', 'health_and_medical'], dtype=object)}",0.9784508333782836,['http://healthfacts.online/'],['https://www.facebook.com/1710678399186225'],,['+18317284653'],"{'wikidata': None, 'names': {'primary': ""Gold's Gym"", 'common': None, 'rules': None}}","[{'freeform': '120 Westridge Dr', 'locality': 'Watsonville', 'postcode': '95076-6602', 'region': 'CA', 'country': 'US'}]",-121.78478,36.91405
-121.7762207,36.9058807,57ba8fb4-041c-4933-89bf-f47b3f3017ba,1,"[{'property': '', 'dataset': 'meta', 'record_id': '129742793774745', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9459263554653523, 'between': None}]","{'primary': 'Seaview Ranch Park', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['community_services_non_profits',
       'landmark_and_historical_building'], dtype=object)}",0.9459263554653523,['https://www.cityofwatsonville.org/facilities/facility/details/Seaview-Ranch-Park-47'],['https://www.facebook.com/129742793774745'],,['+18317683240'],,"[{'freeform': '105 Lighthouse Dr', 'locality': 'Watsonville', 'postcode': '95076', 'region': 'CA', 'country': 'US'}]",-121.7762207,36.9058807
-121.7519194,36.9027922,71ef4869-1453-4f46-a7be-e1edc9365148,1,"[{'property': '', 'dataset': 'meta', 'record_id': '609504262525457', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9459263554653523, 'between': None}]","{'primary': 'Pajaro Park', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['attractions_and_activities', 'active_life'], dtype=object)}",0.9459263554653523,['http://www.togetherinpajaro.org'],['https://www.facebook.com/609504262525457'],,['+18317221389'],,"[{'freeform': '24 San Juan Rd', 'locality': 'Watsonville', 'postcode': '95076-5235', 'region': 'CA', 'country': 'US'}]",-121.7519194,36.9027922
-121.7624504,36.907731,6ca9f367-2991-4c4c-ba9e-98c53c18a278,1,"[{'property': '', 'dataset': 'meta', 'record_id': '152983708049421', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.33766233766233766, 'between': None}]","{'primary': 'Second Street Playground', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['active_life', 'train_station'], dtype=object)}",0.33766233766233766,,['https://www.facebook.com/152983708049421'],,,,"[{'freeform': None, 'locality': 'Watsonville', 'postcode': None, 'region': 'CA', 'country': 'US'}]",-121.7624504,36.907731
-121.7577756,36.9077302,e30bb1d1-101a-4685-88c4-12e73b9f1d16,1,"[{'property': '', 'dataset': 'meta', 'record_id': '169853349731888', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'Marinovich Park and Community Center', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['community_center', 'landmark_and_historical_building'],
      dtype=object)}",0.9784508333782836,['https://www.cityofwatsonville.org/parks-community-services/recreation-centers/marinovich-park-community-center'],['https://www.facebook.com/169853349731888'],,['+18317683250'],,"[{'freeform': '120 2nd St', 'locality': 'Watsonville', 'postcode': '95076-4922', 'region': 'CA', 'country': 'US'}]",-121.7577756,36.9077302
-121.7532641,36.9055519,9561d926-4c7c-4a3a-98c3-8b3a9988adba,1,"[{'property': '', 'dataset': 'meta', 'record_id': '137023289686883', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.7548172757475083, 'between': None}]","{'primary': 'Muzzio Park', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['art_gallery', 'attractions_and_activities'], dtype=object)}",0.7548172757475083,,['https://www.facebook.com/137023289686883'],,['+18317639089'],,"[{'freeform': '26 W Front St', 'locality': 'Watsonville', 'postcode': '95076', 'region': 'CA', 'country': 'US'}]",-121.7532641,36.9055519
-121.757382,36.911065,9baaeea3-5336-42b3-9cb9-b7a3989339c6,1,"[{'property': '', 'dataset': 'meta', 'record_id': '802582369847704', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9297091412742382, 'between': None}]","{'primary': 'Functional Fitness Training Center', 'common': None, 'rules': None}","{'primary': 'gym', 'alternate': array(['active_life', 'sports_and_recreation_venue'], dtype=object)}",0.9297091412742382,['http://www.fftcfitness.com/'],['https://www.facebook.com/802582369847704'],,['+18317266493'],,"[{'freeform': '434 Main St', 'locality': 'Watsonville', 'postcode': '95076-4611', 'region': 'CA', 'country': 'US'}]",-121.757382,36.911065
-121.7561436,36.91028,57b3f46d-ccd2-4b8f-9a3a-c51044d0a9a7,1,"[{'property': '', 'dataset': 'meta', 'record_id': '189009818410462', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.7548172757475083, 'between': None}]","{'primary': 'City Plaza Park', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['public_plaza', 'structure_and_geography'], dtype=object)}",0.7548172757475083,,['https://www.facebook.com/189009818410462'],,,,"[{'freeform': 'Watsonville City Plaza, 358 Main St', 'locality': 'Watsonville', 'postcode': '95076', 'region': 'CA', 'country': 'US'}]",-121.7561436,36.91028
-121.7548612,36.9085927,0b90fb88-e67f-4bbd-8853-ee1bc4a2b987,1,"[{'property': '', 'dataset': 'meta', 'record_id': '645591888917097', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'Watsonville City Plaza', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['topic_concert_venue', 'public_and_government_association'],
      dtype=object)}",0.9784508333782836,['http://www.cityofwatsonville.org/'],['https://www.facebook.com/645591888917097'],,['+18317683240'],,"[{'freeform': '358 Main St', 'locality': 'Watsonville', 'postcode': '95076-4602', 'region': 'CA', 'country': 'US'}]",-121.7548612,36.9085927
-121.75474,36.908961,18ebca70-ab74-4e10-a59d-b8bc535486cc,1,"[{'property': '', 'dataset': 'meta', 'record_id': '1601561570116738', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.5662921348314607, 'between': None}]","{'primary': 'Ramsay Park Center', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['public_and_government_association',
       'public_service_and_government'], dtype=object)}",0.5662921348314607,,['https://www.facebook.com/1601561570116738'],,['+18317683100'],,"[{'freeform': '250 Main St', 'locality': 'Watsonville', 'postcode': '95076-5047', 'region': 'CA', 'country': 'US'}]",-121.75474,36.908961
